geo_accession,split,species
GSM5010115,TRAIN,HUMAN
GSM5010158,TRAIN,HUMAN
GSM5010290,TRAIN,HUMAN
GSM5011629,TRAIN,HUMAN
GSM5012262,TRAIN,HUMAN
GSM5012289,TRAIN,HUMAN
GSM5013720,TRAIN,HUMAN
GSM5015809,TRAIN,HUMAN
GSM5016130,TRAIN,HUMAN
GSM5016208,TRAIN,HUMAN
GSM5016307,TRAIN,HUMAN
GSM5016915,TRAIN,HUMAN
GSM5017704,TRAIN,HUMAN
GSM5017712,TRAIN,HUMAN
GSM5020472,TRAIN,HUMAN
GSM5021203,TRAIN,HUMAN
GSM5021309,TRAIN,HUMAN
GSM5022035,TRAIN,HUMAN
GSM5022086,TRAIN,HUMAN
GSM5022121,TRAIN,HUMAN
GSM5022213,TRAIN,HUMAN
GSM5022226,TRAIN,HUMAN
GSM5022559,TRAIN,HUMAN
GSM5022926,TRAIN,HUMAN
GSM5023110,TRAIN,HUMAN
GSM5023125,TRAIN,HUMAN
GSM5023140,TRAIN,HUMAN
GSM5023252,TRAIN,HUMAN
GSM5024618,TRAIN,HUMAN
GSM5025903,TRAIN,HUMAN
GSM5027064,TRAIN,HUMAN
GSM5027134,TRAIN,HUMAN
GSM5027525,TRAIN,HUMAN
GSM5027815,TRAIN,HUMAN
GSM5028975,TRAIN,HUMAN
GSM5028981,TRAIN,HUMAN
GSM5029233,TRAIN,HUMAN
GSM5029425,TRAIN,HUMAN
GSM5030004,TRAIN,HUMAN
GSM5031672,TRAIN,HUMAN
GSM5031741,TRAIN,HUMAN
GSM5031752,TRAIN,HUMAN
GSM5032188,TRAIN,HUMAN
GSM5032461,TRAIN,HUMAN
GSM5032909,TRAIN,HUMAN
GSM5033170,TRAIN,HUMAN
GSM5033958,TRAIN,HUMAN
GSM5033981,TRAIN,HUMAN
GSM5034012,TRAIN,HUMAN
GSM5034726,TRAIN,HUMAN
GSM5035277,TRAIN,HUMAN
GSM5035388,TRAIN,HUMAN
GSM5037109,TRAIN,HUMAN
GSM5037134,TRAIN,HUMAN
GSM5044722,TRAIN,HUMAN
GSM5044766,TRAIN,HUMAN
GSM5044773,TRAIN,HUMAN
GSM5046489,TRAIN,HUMAN
GSM5046667,TRAIN,HUMAN
GSM5046798,TRAIN,HUMAN
GSM5046831,TRAIN,HUMAN
GSM5046842,TRAIN,HUMAN
GSM5047060,TRAIN,HUMAN
GSM5047691,TRAIN,HUMAN
GSM5047758,TRAIN,HUMAN
GSM5047765,TRAIN,HUMAN
GSM5047766,TRAIN,HUMAN
GSM5048104,TRAIN,HUMAN
GSM5048115,TRAIN,HUMAN
GSM5048384,TRAIN,HUMAN
GSM5048568,TRAIN,HUMAN
GSM5048614,TRAIN,HUMAN
GSM5048795,TRAIN,HUMAN
GSM5048928,TRAIN,HUMAN
GSM5050354,TRAIN,HUMAN
GSM5050363,TRAIN,HUMAN
GSM5050444,TRAIN,HUMAN
GSM5057650,TRAIN,HUMAN
GSM5057985,TRAIN,HUMAN
GSM5058813,TRAIN,HUMAN
GSM5058818,TRAIN,HUMAN
GSM5058851,TRAIN,HUMAN
GSM5059493,TRAIN,HUMAN
GSM5059767,TRAIN,HUMAN
GSM5059962,TRAIN,HUMAN
GSM5060303,TRAIN,HUMAN
GSM5060483,TRAIN,HUMAN
GSM5060508,TRAIN,HUMAN
GSM5060512,TRAIN,HUMAN
GSM5060516,TRAIN,HUMAN
GSM5060532,TRAIN,HUMAN
GSM5060550,TRAIN,HUMAN
GSM5060626,TRAIN,HUMAN
GSM5065436,TRAIN,HUMAN
GSM5065474,TRAIN,HUMAN
GSM5065546,TRAIN,HUMAN
GSM5065895,TRAIN,HUMAN
GSM5066054,TRAIN,HUMAN
GSM5066902,TRAIN,HUMAN
GSM5067001,TRAIN,HUMAN
GSM5067795,TRAIN,HUMAN
GSM5068292,TRAIN,HUMAN
GSM5070361,TRAIN,HUMAN
GSM5070421,TRAIN,HUMAN
GSM5070587,TRAIN,HUMAN
GSM5070879,TRAIN,HUMAN
GSM5070986,TRAIN,HUMAN
GSM5071070,TRAIN,HUMAN
GSM5071095,TRAIN,HUMAN
GSM5071187,TRAIN,HUMAN
GSM5071189,TRAIN,HUMAN
GSM5071197,TRAIN,HUMAN
GSM5071198,TRAIN,HUMAN
GSM5071292,TRAIN,HUMAN
GSM5073086,TRAIN,HUMAN
GSM5073205,TRAIN,HUMAN
GSM5073218,TRAIN,HUMAN
GSM5073858,TRAIN,HUMAN
GSM5074352,TRAIN,HUMAN
GSM5079517,TRAIN,HUMAN
GSM5081820,TRAIN,HUMAN
GSM5081821,TRAIN,HUMAN
GSM5086094,TRAIN,HUMAN
GSM5086100,TRAIN,HUMAN
GSM5086126,TRAIN,HUMAN
GSM5086133,TRAIN,HUMAN
GSM5087312,TRAIN,HUMAN
GSM5087879,TRAIN,HUMAN
GSM5087882,TRAIN,HUMAN
GSM5088049,TRAIN,HUMAN
GSM5088054,TRAIN,HUMAN
GSM5088098,TRAIN,HUMAN
GSM5088101,TRAIN,HUMAN
GSM5088273,TRAIN,HUMAN
GSM5088329,TRAIN,HUMAN
GSM5088411,TRAIN,HUMAN
GSM5090905,TRAIN,HUMAN
GSM5091428,TRAIN,HUMAN
GSM5092611,TRAIN,HUMAN
GSM5098478,TRAIN,HUMAN
GSM5100128,TRAIN,HUMAN
GSM5100399,TRAIN,HUMAN
GSM5101051,TRAIN,HUMAN
GSM5104696,TRAIN,HUMAN
GSM5105647,TRAIN,HUMAN
GSM5105675,TRAIN,HUMAN
GSM5106660,TRAIN,HUMAN
GSM5113824,TRAIN,HUMAN
GSM5113842,TRAIN,HUMAN
GSM5113848,TRAIN,HUMAN
GSM5114201,TRAIN,HUMAN
GSM5115706,TRAIN,HUMAN
GSM5120023,TRAIN,HUMAN
GSM5120232,TRAIN,HUMAN
GSM5120288,TRAIN,HUMAN
GSM5120321,TRAIN,HUMAN
GSM5120381,TRAIN,HUMAN
GSM5120414,TRAIN,HUMAN
GSM5120420,TRAIN,HUMAN
GSM5120484,TRAIN,HUMAN
GSM5123080,TRAIN,HUMAN
GSM5124315,TRAIN,HUMAN
GSM5127796,TRAIN,HUMAN
GSM5129440,TRAIN,HUMAN
GSM5129913,TRAIN,HUMAN
GSM5133345,TRAIN,HUMAN
GSM5133547,TRAIN,HUMAN
GSM5133951,TRAIN,HUMAN
GSM5136765,TRAIN,HUMAN
GSM5137508,TRAIN,HUMAN
GSM5137520,TRAIN,HUMAN
GSM5137777,TRAIN,HUMAN
GSM5137827,TRAIN,HUMAN
GSM5137836,TRAIN,HUMAN
GSM5138287,TRAIN,HUMAN
GSM5138469,TRAIN,HUMAN
GSM5138480,TRAIN,HUMAN
GSM5138607,TRAIN,HUMAN
GSM5138634,TRAIN,HUMAN
GSM5138683,TRAIN,HUMAN
GSM5138696,TRAIN,HUMAN
GSM5140031,TRAIN,HUMAN
GSM5140038,TRAIN,HUMAN
GSM5140352,TRAIN,HUMAN
GSM5140425,TRAIN,HUMAN
GSM5140427,TRAIN,HUMAN
GSM5145171,TRAIN,HUMAN
GSM5149352,TRAIN,HUMAN
GSM5149465,TRAIN,HUMAN
GSM5150421,TRAIN,HUMAN
GSM5150467,TRAIN,HUMAN
GSM5154373,TRAIN,HUMAN
GSM5158901,TRAIN,HUMAN
GSM5158975,TRAIN,HUMAN
GSM5159135,TRAIN,HUMAN
GSM5169111,TRAIN,HUMAN
GSM5170070,TRAIN,HUMAN
GSM5170082,TRAIN,HUMAN
GSM5172118,TRAIN,HUMAN
GSM5172170,TRAIN,HUMAN
GSM5173480,TRAIN,HUMAN
GSM5173487,TRAIN,HUMAN
GSM5174077,TRAIN,HUMAN
GSM5174230,TRAIN,HUMAN
GSM5174311,TRAIN,HUMAN
GSM5174326,TRAIN,HUMAN
GSM5174330,TRAIN,HUMAN
GSM5176222,TRAIN,HUMAN
GSM5176225,TRAIN,HUMAN
GSM5176301,TRAIN,HUMAN
GSM5176568,TRAIN,HUMAN
GSM5177004,TRAIN,HUMAN
GSM5177008,TRAIN,HUMAN
GSM5177014,TRAIN,HUMAN
GSM5183521,TRAIN,HUMAN
GSM5183622,TRAIN,HUMAN
GSM5183918,TRAIN,HUMAN
GSM5184075,TRAIN,HUMAN
GSM5194306,TRAIN,HUMAN
GSM5194309,TRAIN,HUMAN
GSM5194347,TRAIN,HUMAN
GSM5194575,TRAIN,HUMAN
GSM5195633,TRAIN,HUMAN
GSM5196521,TRAIN,HUMAN
GSM5199921,TRAIN,HUMAN
GSM5207976,TRAIN,HUMAN
GSM5207988,TRAIN,HUMAN
GSM5208141,TRAIN,HUMAN
GSM5210300,TRAIN,HUMAN
GSM5210379,TRAIN,HUMAN
GSM5211312,TRAIN,HUMAN
GSM5211699,TRAIN,HUMAN
GSM5211708,TRAIN,HUMAN
GSM5211830,TRAIN,HUMAN
GSM5211961,TRAIN,HUMAN
GSM5211966,TRAIN,HUMAN
GSM5212133,TRAIN,HUMAN
GSM5212328,TRAIN,HUMAN
GSM5213078,TRAIN,HUMAN
GSM5213661,TRAIN,HUMAN
GSM5216114,TRAIN,HUMAN
GSM5216259,TRAIN,HUMAN
GSM5217634,TRAIN,HUMAN
GSM5218440,TRAIN,HUMAN
GSM5218875,TRAIN,HUMAN
GSM5218899,TRAIN,HUMAN
GSM5218911,TRAIN,HUMAN
GSM5219049,TRAIN,HUMAN
GSM5219481,TRAIN,HUMAN
GSM5220351,TRAIN,HUMAN
GSM5220358,TRAIN,HUMAN
GSM5220374,TRAIN,HUMAN
GSM5221049,TRAIN,HUMAN
GSM5221063,TRAIN,HUMAN
GSM5221326,TRAIN,HUMAN
GSM5221423,TRAIN,HUMAN
GSM5222268,TRAIN,HUMAN
GSM5222902,TRAIN,HUMAN
GSM5222930,TRAIN,HUMAN
GSM5223847,TRAIN,HUMAN
GSM5223924,TRAIN,HUMAN
GSM5224094,TRAIN,HUMAN
GSM5224672,TRAIN,HUMAN
GSM5224880,TRAIN,HUMAN
GSM5225231,TRAIN,HUMAN
GSM5225868,TRAIN,HUMAN
GSM5225874,TRAIN,HUMAN
GSM5225877,TRAIN,HUMAN
GSM5226024,TRAIN,HUMAN
GSM5226248,TRAIN,HUMAN
GSM5226739,TRAIN,HUMAN
GSM5226745,TRAIN,HUMAN
GSM5226877,TRAIN,HUMAN
GSM5226880,TRAIN,HUMAN
GSM5227045,TRAIN,HUMAN
GSM5227323,TRAIN,HUMAN
GSM5227452,TRAIN,HUMAN
GSM5229461,TRAIN,HUMAN
GSM5229474,TRAIN,HUMAN
GSM5229740,TRAIN,HUMAN
GSM5231006,TRAIN,HUMAN
GSM5231092,TRAIN,HUMAN
GSM5233668,TRAIN,HUMAN
GSM5233699,TRAIN,HUMAN
GSM5234505,TRAIN,HUMAN
GSM5235283,TRAIN,HUMAN
GSM5235360,TRAIN,HUMAN
GSM5235653,TRAIN,HUMAN
GSM5235778,TRAIN,HUMAN
GSM5235784,TRAIN,HUMAN
GSM5236561,TRAIN,HUMAN
GSM5236621,TRAIN,HUMAN
GSM5236627,TRAIN,HUMAN
GSM5236666,TRAIN,HUMAN
GSM5236696,TRAIN,HUMAN
GSM5236701,TRAIN,HUMAN
GSM5237152,TRAIN,HUMAN
GSM5237715,TRAIN,HUMAN
GSM5237760,TRAIN,HUMAN
GSM5238592,TRAIN,HUMAN
GSM5238723,TRAIN,HUMAN
GSM5239165,TRAIN,HUMAN
GSM5239421,TRAIN,HUMAN
GSM5239598,TRAIN,HUMAN
GSM5239847,TRAIN,HUMAN
GSM5239864,TRAIN,HUMAN
GSM5240169,TRAIN,HUMAN
GSM5240815,TRAIN,HUMAN
GSM5240838,TRAIN,HUMAN
GSM5240880,TRAIN,HUMAN
GSM5240928,TRAIN,HUMAN
GSM5240998,TRAIN,HUMAN
GSM5241074,TRAIN,HUMAN
GSM5241119,TRAIN,HUMAN
GSM5242384,TRAIN,HUMAN
GSM5242629,TRAIN,HUMAN
GSM5243528,TRAIN,HUMAN
GSM5243533,TRAIN,HUMAN
GSM5243535,TRAIN,HUMAN
GSM5244218,TRAIN,HUMAN
GSM5244489,TRAIN,HUMAN
GSM5244563,TRAIN,HUMAN
GSM5244574,TRAIN,HUMAN
GSM5251531,TRAIN,HUMAN
GSM5252004,TRAIN,HUMAN
GSM5252470,TRAIN,HUMAN
GSM5253126,TRAIN,HUMAN
GSM5253208,TRAIN,HUMAN
GSM5253435,TRAIN,HUMAN
GSM5253476,TRAIN,HUMAN
GSM5253576,TRAIN,HUMAN
GSM5256133,TRAIN,HUMAN
GSM5256781,TRAIN,HUMAN
GSM5256812,TRAIN,HUMAN
GSM5256864,TRAIN,HUMAN
GSM5256941,TRAIN,HUMAN
GSM5256947,TRAIN,HUMAN
GSM5256955,TRAIN,HUMAN
GSM5257969,TRAIN,HUMAN
GSM5257978,TRAIN,HUMAN
GSM5258328,TRAIN,HUMAN
GSM5259451,TRAIN,HUMAN
GSM5260001,TRAIN,HUMAN
GSM5260216,TRAIN,HUMAN
GSM5260542,TRAIN,HUMAN
GSM5261157,TRAIN,HUMAN
GSM5261269,TRAIN,HUMAN
GSM5261339,TRAIN,HUMAN
GSM5261623,TRAIN,HUMAN
GSM5261709,TRAIN,HUMAN
GSM5261855,TRAIN,HUMAN
GSM5264855,TRAIN,HUMAN
GSM5265124,TRAIN,HUMAN
GSM5265128,TRAIN,HUMAN
GSM5265130,TRAIN,HUMAN
GSM5265360,TRAIN,HUMAN
GSM5266102,TRAIN,HUMAN
GSM5266111,TRAIN,HUMAN
GSM5266116,TRAIN,HUMAN
GSM5266137,TRAIN,HUMAN
GSM5266145,TRAIN,HUMAN
GSM5266583,TRAIN,HUMAN
GSM5266813,TRAIN,HUMAN
GSM5267066,TRAIN,HUMAN
GSM5268275,TRAIN,HUMAN
GSM5268635,TRAIN,HUMAN
GSM5268868,TRAIN,HUMAN
GSM5269616,TRAIN,HUMAN
GSM5271097,TRAIN,HUMAN
GSM5271121,TRAIN,HUMAN
GSM5271540,TRAIN,HUMAN
GSM5272759,TRAIN,HUMAN
GSM5272783,TRAIN,HUMAN
GSM5272965,TRAIN,HUMAN
GSM5273358,TRAIN,HUMAN
GSM5273457,TRAIN,HUMAN
GSM5273474,TRAIN,HUMAN
GSM5277057,TRAIN,HUMAN
GSM5277122,TRAIN,HUMAN
GSM5277203,TRAIN,HUMAN
GSM5277714,TRAIN,HUMAN
GSM5277715,TRAIN,HUMAN
GSM5278131,TRAIN,HUMAN
GSM5278954,TRAIN,HUMAN
GSM5278965,TRAIN,HUMAN
GSM5279003,TRAIN,HUMAN
GSM5281132,TRAIN,HUMAN
GSM5281246,TRAIN,HUMAN
GSM5281250,TRAIN,HUMAN
GSM5281640,TRAIN,HUMAN
GSM5281889,TRAIN,HUMAN
GSM5281911,TRAIN,HUMAN
GSM5282290,TRAIN,HUMAN
GSM5282527,TRAIN,HUMAN
GSM5282551,TRAIN,HUMAN
GSM5282787,TRAIN,HUMAN
GSM5282894,TRAIN,HUMAN
GSM5282898,TRAIN,HUMAN
GSM5283388,TRAIN,HUMAN
GSM5283389,TRAIN,HUMAN
GSM5283423,TRAIN,HUMAN
GSM5283427,TRAIN,HUMAN
GSM5283455,TRAIN,HUMAN
GSM5283456,TRAIN,HUMAN
GSM5283458,TRAIN,HUMAN
GSM5284904,TRAIN,HUMAN
GSM5285196,TRAIN,HUMAN
GSM5285303,TRAIN,HUMAN
GSM5286191,TRAIN,HUMAN
GSM5287341,TRAIN,HUMAN
GSM5287478,TRAIN,HUMAN
GSM5287895,TRAIN,HUMAN
GSM5288708,TRAIN,HUMAN
GSM5289122,TRAIN,HUMAN
GSM5289177,TRAIN,HUMAN
GSM5289182,TRAIN,HUMAN
GSM5289947,TRAIN,HUMAN
GSM5289966,TRAIN,HUMAN
GSM5290279,TRAIN,HUMAN
GSM5291033,TRAIN,HUMAN
GSM5291273,TRAIN,HUMAN
GSM5291287,TRAIN,HUMAN
GSM5291347,TRAIN,HUMAN
GSM5291366,TRAIN,HUMAN
GSM5291389,TRAIN,HUMAN
GSM5291424,TRAIN,HUMAN
GSM5291437,TRAIN,HUMAN
GSM5291446,TRAIN,HUMAN
GSM5291464,TRAIN,HUMAN
GSM5291518,TRAIN,HUMAN
GSM5291730,TRAIN,HUMAN
GSM5291867,TRAIN,HUMAN
GSM5291903,TRAIN,HUMAN
GSM5292089,TRAIN,HUMAN
GSM5292266,TRAIN,HUMAN
GSM5292269,TRAIN,HUMAN
GSM5292736,TRAIN,HUMAN
GSM5292901,TRAIN,HUMAN
GSM5292977,TRAIN,HUMAN
GSM5293066,TRAIN,HUMAN
GSM5293278,TRAIN,HUMAN
GSM5311385,TRAIN,HUMAN
GSM5311824,TRAIN,HUMAN
GSM5315342,TRAIN,HUMAN
GSM5315702,TRAIN,HUMAN
GSM5315806,TRAIN,HUMAN
GSM5316037,TRAIN,HUMAN
GSM5318849,TRAIN,HUMAN
GSM5319131,TRAIN,HUMAN
GSM5319140,TRAIN,HUMAN
GSM5319736,TRAIN,HUMAN
GSM5320278,TRAIN,HUMAN
GSM5320320,TRAIN,HUMAN
GSM5320648,TRAIN,HUMAN
GSM5320676,TRAIN,HUMAN
GSM5321417,TRAIN,HUMAN
GSM5321501,TRAIN,HUMAN
GSM5321536,TRAIN,HUMAN
GSM5321549,TRAIN,HUMAN
GSM5321591,TRAIN,HUMAN
GSM5322585,TRAIN,HUMAN
GSM5324085,TRAIN,HUMAN
GSM5325457,TRAIN,HUMAN
GSM5327363,TRAIN,HUMAN
GSM5328354,TRAIN,HUMAN
GSM5328366,TRAIN,HUMAN
GSM5328847,TRAIN,HUMAN
GSM5328886,TRAIN,HUMAN
GSM5330751,TRAIN,HUMAN
GSM5331387,TRAIN,HUMAN
GSM5331446,TRAIN,HUMAN
GSM5331462,TRAIN,HUMAN
GSM5331474,TRAIN,HUMAN
GSM5332199,TRAIN,HUMAN
GSM5333093,TRAIN,HUMAN
GSM5335445,TRAIN,HUMAN
GSM5341354,TRAIN,HUMAN
GSM5342254,TRAIN,HUMAN
GSM5343876,TRAIN,HUMAN
GSM5343914,TRAIN,HUMAN
GSM5343929,TRAIN,HUMAN
GSM5344010,TRAIN,HUMAN
GSM5344616,TRAIN,HUMAN
GSM5345015,TRAIN,HUMAN
GSM5348070,TRAIN,HUMAN
GSM5348076,TRAIN,HUMAN
GSM5348554,TRAIN,HUMAN
GSM5348571,TRAIN,HUMAN
GSM5348689,TRAIN,HUMAN
GSM5348691,TRAIN,HUMAN
GSM5350066,TRAIN,HUMAN
GSM5350826,TRAIN,HUMAN
GSM5353234,TRAIN,HUMAN
GSM5353253,TRAIN,HUMAN
GSM5354338,TRAIN,HUMAN
GSM5356209,TRAIN,HUMAN
GSM5356945,TRAIN,HUMAN
GSM5357054,TRAIN,HUMAN
GSM5357081,TRAIN,HUMAN
GSM5357233,TRAIN,HUMAN
GSM5357257,TRAIN,HUMAN
GSM5357269,TRAIN,HUMAN
GSM5357429,TRAIN,HUMAN
GSM5357499,TRAIN,HUMAN
GSM5357605,TRAIN,HUMAN
GSM5357749,TRAIN,HUMAN
GSM5357990,TRAIN,HUMAN
GSM5358022,TRAIN,HUMAN
GSM5358078,TRAIN,HUMAN
GSM5358143,TRAIN,HUMAN
GSM5358234,TRAIN,HUMAN
GSM5358256,TRAIN,HUMAN
GSM5358264,TRAIN,HUMAN
GSM5358482,TRAIN,HUMAN
GSM5358493,TRAIN,HUMAN
GSM5358502,TRAIN,HUMAN
GSM5358512,TRAIN,HUMAN
GSM5358517,TRAIN,HUMAN
GSM5358527,TRAIN,HUMAN
GSM5358567,TRAIN,HUMAN
GSM5358693,TRAIN,HUMAN
GSM5358789,TRAIN,HUMAN
GSM5358971,TRAIN,HUMAN
GSM5360171,TRAIN,HUMAN
GSM5360235,TRAIN,HUMAN
GSM5360256,TRAIN,HUMAN
GSM5360494,TRAIN,HUMAN
GSM5360499,TRAIN,HUMAN
GSM5360814,TRAIN,HUMAN
GSM5360836,TRAIN,HUMAN
GSM5360900,TRAIN,HUMAN
GSM5360917,TRAIN,HUMAN
GSM5360932,TRAIN,HUMAN
GSM5360962,TRAIN,HUMAN
GSM5361072,TRAIN,HUMAN
GSM5361073,TRAIN,HUMAN
GSM5361163,TRAIN,HUMAN
GSM5361180,TRAIN,HUMAN
GSM5361225,TRAIN,HUMAN
GSM5363532,TRAIN,HUMAN
GSM5363552,TRAIN,HUMAN
GSM5364073,TRAIN,HUMAN
GSM5366003,TRAIN,HUMAN
GSM5366155,TRAIN,HUMAN
GSM5368612,TRAIN,HUMAN
GSM5368630,TRAIN,HUMAN
GSM5368907,TRAIN,HUMAN
GSM5369610,TRAIN,HUMAN
GSM5369614,TRAIN,HUMAN
GSM5369930,TRAIN,HUMAN
GSM5370190,TRAIN,HUMAN
GSM5370757,TRAIN,HUMAN
GSM5370817,TRAIN,HUMAN
GSM5370949,TRAIN,HUMAN
GSM5370970,TRAIN,HUMAN
GSM5370988,TRAIN,HUMAN
GSM5371004,TRAIN,HUMAN
GSM5371031,TRAIN,HUMAN
GSM5371071,TRAIN,HUMAN
GSM5371115,TRAIN,HUMAN
GSM5371374,TRAIN,HUMAN
GSM5371611,TRAIN,HUMAN
GSM5371649,TRAIN,HUMAN
GSM5371724,TRAIN,HUMAN
GSM5371752,TRAIN,HUMAN
GSM5371757,TRAIN,HUMAN
GSM5371786,TRAIN,HUMAN
GSM5371808,TRAIN,HUMAN
GSM5371919,TRAIN,HUMAN
GSM5372050,TRAIN,HUMAN
GSM5372075,TRAIN,HUMAN
GSM5372118,TRAIN,HUMAN
GSM5372245,TRAIN,HUMAN
GSM5372248,TRAIN,HUMAN
GSM5372266,TRAIN,HUMAN
GSM5372298,TRAIN,HUMAN
GSM5372325,TRAIN,HUMAN
GSM5372357,TRAIN,HUMAN
GSM5372386,TRAIN,HUMAN
GSM5372390,TRAIN,HUMAN
GSM5372452,TRAIN,HUMAN
GSM5374339,TRAIN,HUMAN
GSM5374755,TRAIN,HUMAN
GSM5379130,TRAIN,HUMAN
GSM5379578,TRAIN,HUMAN
GSM5380306,TRAIN,HUMAN
GSM5380309,TRAIN,HUMAN
GSM5381344,TRAIN,HUMAN
GSM5381501,TRAIN,HUMAN
GSM5381570,TRAIN,HUMAN
GSM5381581,TRAIN,HUMAN
GSM5381636,TRAIN,HUMAN
GSM5381681,TRAIN,HUMAN
GSM5384669,TRAIN,HUMAN
GSM5385325,TRAIN,HUMAN
GSM5385459,TRAIN,HUMAN
GSM5385549,TRAIN,HUMAN
GSM5385650,TRAIN,HUMAN
GSM5387032,TRAIN,HUMAN
GSM5387251,TRAIN,HUMAN
GSM5387309,TRAIN,HUMAN
GSM5387344,TRAIN,HUMAN
GSM5388265,TRAIN,HUMAN
GSM5389435,TRAIN,HUMAN
GSM5389453,TRAIN,HUMAN
GSM5389454,TRAIN,HUMAN
GSM5389978,TRAIN,HUMAN
GSM5390285,TRAIN,HUMAN
GSM5390518,TRAIN,HUMAN
GSM5390589,TRAIN,HUMAN
GSM5390592,TRAIN,HUMAN
GSM5391371,TRAIN,HUMAN
GSM5391536,TRAIN,HUMAN
GSM5391546,TRAIN,HUMAN
GSM5391907,TRAIN,HUMAN
GSM5392492,TRAIN,HUMAN
GSM5392606,TRAIN,HUMAN
GSM5392681,TRAIN,HUMAN
GSM5392742,TRAIN,HUMAN
GSM5394030,TRAIN,HUMAN
GSM5394055,TRAIN,HUMAN
GSM5394424,TRAIN,HUMAN
GSM5395131,TRAIN,HUMAN
GSM5396223,TRAIN,HUMAN
GSM5396797,TRAIN,HUMAN
GSM5397680,TRAIN,HUMAN
GSM5397726,TRAIN,HUMAN
GSM5400959,TRAIN,HUMAN
GSM5401219,TRAIN,HUMAN
GSM5401622,TRAIN,HUMAN
GSM5402280,TRAIN,HUMAN
GSM5402293,TRAIN,HUMAN
GSM5402296,TRAIN,HUMAN
GSM5402357,TRAIN,HUMAN
GSM5403755,TRAIN,HUMAN
GSM5403762,TRAIN,HUMAN
GSM5404398,TRAIN,HUMAN
GSM5404475,TRAIN,HUMAN
GSM5404678,TRAIN,HUMAN
GSM5406089,TRAIN,HUMAN
GSM5406985,TRAIN,HUMAN
GSM5407007,TRAIN,HUMAN
GSM5410332,TRAIN,HUMAN
GSM5411415,TRAIN,HUMAN
GSM5412133,TRAIN,HUMAN
GSM5412151,TRAIN,HUMAN
GSM5412156,TRAIN,HUMAN
GSM5412163,TRAIN,HUMAN
GSM5412234,TRAIN,HUMAN
GSM5412249,TRAIN,HUMAN
GSM5412271,TRAIN,HUMAN
GSM5412288,TRAIN,HUMAN
GSM5412292,TRAIN,HUMAN
GSM5412313,TRAIN,HUMAN
GSM5412523,TRAIN,HUMAN
GSM5412552,TRAIN,HUMAN
GSM5413108,TRAIN,HUMAN
GSM5413555,TRAIN,HUMAN
GSM5413561,TRAIN,HUMAN
GSM5413619,TRAIN,HUMAN
GSM5413687,TRAIN,HUMAN
GSM5414133,TRAIN,HUMAN
GSM5415856,TRAIN,HUMAN
GSM5415869,TRAIN,HUMAN
GSM5416047,TRAIN,HUMAN
GSM5416086,TRAIN,HUMAN
GSM5416098,TRAIN,HUMAN
GSM5416135,TRAIN,HUMAN
GSM5416904,TRAIN,HUMAN
GSM5417547,TRAIN,HUMAN
GSM5418099,TRAIN,HUMAN
GSM5418174,TRAIN,HUMAN
GSM5418221,TRAIN,HUMAN
GSM5418361,TRAIN,HUMAN
GSM5418373,TRAIN,HUMAN
GSM5418700,TRAIN,HUMAN
GSM5418810,TRAIN,HUMAN
GSM5418815,TRAIN,HUMAN
GSM5419210,TRAIN,HUMAN
GSM5419248,TRAIN,HUMAN
GSM5421408,TRAIN,HUMAN
GSM5423923,TRAIN,HUMAN
GSM5423933,TRAIN,HUMAN
GSM5423938,TRAIN,HUMAN
GSM5424166,TRAIN,HUMAN
GSM5424990,TRAIN,HUMAN
GSM5425253,TRAIN,HUMAN
GSM5425297,TRAIN,HUMAN
GSM5429837,TRAIN,HUMAN
GSM5429870,TRAIN,HUMAN
GSM5430366,TRAIN,HUMAN
GSM5430417,TRAIN,HUMAN
GSM5434336,TRAIN,HUMAN
GSM5434534,TRAIN,HUMAN
GSM5434838,TRAIN,HUMAN
GSM5434915,TRAIN,HUMAN
GSM5434926,TRAIN,HUMAN
GSM5435614,TRAIN,HUMAN
GSM5435639,TRAIN,HUMAN
GSM5435695,TRAIN,HUMAN
GSM5435726,TRAIN,HUMAN
GSM5435762,TRAIN,HUMAN
GSM5435786,TRAIN,HUMAN
GSM5435801,TRAIN,HUMAN
GSM5435823,TRAIN,HUMAN
GSM5435913,TRAIN,HUMAN
GSM5436357,TRAIN,HUMAN
GSM5436484,TRAIN,HUMAN
GSM5436490,TRAIN,HUMAN
GSM5436585,TRAIN,HUMAN
GSM5437354,TRAIN,HUMAN
GSM5437364,TRAIN,HUMAN
GSM5444194,TRAIN,HUMAN
GSM5444197,TRAIN,HUMAN
GSM5444207,TRAIN,HUMAN
GSM5444209,TRAIN,HUMAN
GSM5444234,TRAIN,HUMAN
GSM5444348,TRAIN,HUMAN
GSM5444584,TRAIN,HUMAN
GSM5452741,TRAIN,HUMAN
GSM5452748,TRAIN,HUMAN
GSM5452768,TRAIN,HUMAN
GSM5452842,TRAIN,HUMAN
GSM5454382,TRAIN,HUMAN
GSM5454716,TRAIN,HUMAN
GSM5454926,TRAIN,HUMAN
GSM5456101,TRAIN,HUMAN
GSM5456119,TRAIN,HUMAN
GSM5456121,TRAIN,HUMAN
GSM5456333,TRAIN,HUMAN
GSM5456356,TRAIN,HUMAN
GSM5456384,TRAIN,HUMAN
GSM5456550,TRAIN,HUMAN
GSM5456682,TRAIN,HUMAN
GSM5457106,TRAIN,HUMAN
GSM5460751,TRAIN,HUMAN
